Koordinatensystem : Lambert konform konisch
Rechtswert        : 3731500 Meter
Hochwert          : 2677500 Meter
Hoehenlage        : 186 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3731500 2677500  1  1  1  -2.0  999 258  1.8 6  3.2  95    0    0 223 -289  2
3731500 2677500  1  1  2  -2.3  999 226  1.7 4  3.1  93    0    0 219 -289  2
3731500 2677500  1  1  3  -2.7  998 207  1.7 4  2.9  91    0    0 210 -290  2
3731500 2677500  1  1  4  -2.7  997 196  1.7 4  2.9  90    0    0 205 -291  2
3731500 2677500  1  1  5  -2.7  996 183  1.7 4  2.8  89    0    0 215 -292  2
3731500 2677500  1  1  6  -2.4  995 145  1.4 6  2.8  88    0    0 231 -293  2
3731500 2677500  1  1  7  -2.1  994 143  1.6 5  2.8  85    0    0 236 -294  2
3731500 2677500  1  1  8  -2.1  995 128  0.9 6  2.8  84    0    0 238 -295  2
3731500 2677500  1  1  9  -1.6  994 121  1.9 7  2.8  83    0    0 249 -297  2
3731500 2677500  1  1 10  -1.8  993 133  0.8 7  2.8  83    0   15 255 -298  2
3731500 2677500  1  1 11  -1.3  992 188  1.0 7  2.9  84    0   40 257 -301  2
3731500 2677500  1  1 12  -1.1  991 145  1.2 8  2.9  83    0   46 264 -306  2
3731500 2677500  1  1 13  -0.7  991  67  1.1 8  3.0  82    0   58 271 -310  2
3731500 2677500  1  1 14  -0.5  990 116  0.6 8  3.1  82    0   47 275 -312  2
3731500 2677500  1  1 15   0.5  988 147  2.0 8  3.1  80    0   42 279 -312  2
3731500 2677500  1  1 16   0.5  988 133  2.4 8  3.1  77    0   20 283 -312  2
3731500 2677500  1  1 17   0.4  988 131  2.2 8  3.1  77    0    0 286 -311  2
3731500 2677500  1  1 18   0.3  987 112  1.7 8  3.1  78    0    0 287 -310  2
3731500 2677500  1  1 19  -0.1  987 108  1.3 8  3.2  82    0    0 289 -309  2
3731500 2677500  1  1 20  -0.5  986  90  1.5 7  3.3  88    0    0 281 -309  2
3731500 2677500  1  1 21  -0.7  987 111  1.9 8  3.4  92    0    0 282 -308  2
3731500 2677500  1  1 22  -0.8  987 111  1.7 8  3.4  94    0    0 291 -308  2
3731500 2677500  1  1 23  -0.8  987 100  3.2 8  3.4  93    0    0 290 -308  2
3731500 2677500  1  1 24  -0.7  987  81  2.8 8  3.4  92    0    0 291 -307  2
3731500 2677500  1  2  1  -0.7  987  70  2.0 8  3.4  91    0    0 293 -307  2
3731500 2677500  1  2  2  -0.9  987  79  2.2 8  3.3  91    0    0 294 -307  2
3731500 2677500  1  2  3  -1.3  987  61  2.3 8  3.3  91    0    0 294 -307  2
3731500 2677500  1  2  4  -1.7  988  71  2.3 8  3.2  92    0    0 294 -308  2
3731500 2677500  1  2  5  -1.8  988  70  2.6 7  3.2  93    0    0 285 -308  2
3731500 2677500  1  2  6  -1.7  989  80  3.4 8  3.2  92    0    0 285 -309  2
3731500 2677500  1  2  7  -1.7  989 100  3.4 8  3.1  91    0    0 294 -309  2
3731500 2677500  1  2  8  -1.4  990  80  3.6 8  3.0  88    0    0 294 -308  2
3731500 2677500  1  2  9  -1.5  991  71  3.2 8  3.0  86    0    0 293 -308  2
3731500 2677500  1  2 10  -1.3  992  70  3.3 7  3.0  85    2   29 280 -308  2
3731500 2677500  1  2 11  -1.0  993  80  4.0 4  2.8  78  105   21 230 -308  2
3731500 2677500  1  2 12  -0.3  994  72  3.9 2  2.6  70  136   27 169 -309  2
3731500 2677500  1  2 13  -0.2  995  78  3.4 3  2.5  67   57   79 163 -310  2
3731500 2677500  1  2 14  -1.0  995  90  4.7 5  2.5  68    5   73 200 -311  2
3731500 2677500  1  2 15  -0.9  996  78  2.6 7  2.5  69    0   50 247 -312  2
3731500 2677500  1  2 16  -0.7  996  69  2.5 6  2.5  68   37   19 262 -313  2
3731500 2677500  1  2 17  -1.9  997  30  3.2 6  2.5  71    5    5 257 -313  2
3731500 2677500  1  2 18  -3.3  997  40  2.5 2  2.5  78    0    0 230 -313  2
3731500 2677500  1  2 19  -3.9  998  40  2.4 2  2.4  82    0    0 209 -312  2
3731500 2677500  1  2 20  -4.4  999  51  1.9 1  2.4  84    0    0 206 -312  2
3731500 2677500  1  2 21  -5.1  999  80  2.5 0  2.3  86    0    0 197 -312  2
3731500 2677500  1  2 22  -5.2 1000  70  2.3 0  2.3  87    0    0 191 -312  2
3731500 2677500  1  2 23  -5.7 1000  70  1.9 0  2.2  88    0    0 188 -311  2
3731500 2677500  1  2 24  -6.1 1001  31  1.2 2  2.2  89    0    0 197 -311  2
3731500 2677500  1  3  1  -6.4 1001  71  1.4 2  2.2  90    0    0 208 -311  2
3731500 2677500  1  3  2  -6.2 1001 110  1.7 1  2.2  92    0    0 201 -310  2
3731500 2677500  1  3  3  -6.6 1001   0  0.6 0  2.2  92    0    0 188 -309  2
3731500 2677500  1  3  4  -7.2 1001 119  0.8 1  2.1  93    0    0 187 -308  2
3731500 2677500  1  3  5  -7.4 1001  45  1.0 0  2.1  93    0    0 184 -307  2
3731500 2677500  1  3  6  -7.5 1002 189  0.7 1  2.1  94    0    0 181 -306  2
3731500 2677500  1  3  7  -7.7 1001 110  1.0 2  2.0  94    0    0 191 -304  2
3731500 2677500  1  3  8  -7.7 1001 182  1.0 2  2.0  95    0    0 197 -303  2
