#1  	
double TGround(8760,2)  	
0	253.75
3600	255.15
7200	256.55
10800	257.85
14400	258.75
18000	260.15
21600	262.05
25200	263.45
28800	265.45
32400	267.25
36000	270.95
39600	274.55
43200	275.95
46800	277.55
50400	276.45
54000	277.05
57600	275.35
61200	272.55
64800	270.95
68400	268.15
72000	267.55
75600	267.05
79200	267.05
82800	267.05
86400	268.15
90000	268.15
93600	267.55
97200	268.15
100800	266.45
104400	267.55
108000	267.05
111600	268.75
115200	270.35
118800	271.45
122400	275.35
126000	278.75
129600	282.05
133200	282.55
136800	282.55
140400	283.15
144000	280.95
147600	279.85
151200	278.15
154800	274.25
158400	273.15
162000	271.45
165600	272.05
169200	273.75
172800	273.15
176400	272.55
180000	272.55
183600	272.05
187200	271.45
190800	271.45
194400	272.05
198000	272.05
201600	272.55
205200	276.45
208800	278.75
212400	279.25
216000	279.85
219600	278.75
223200	277.75
226800	275.45
230400	272.85
234000	270.15
237600	267.35
241200	267.55
244800	265.95
248400	264.35
252000	263.25
255600	261.75
259200	260.75
262800	259.65
266400	256.95
270000	256.95
273600	258.45
277200	258.95
280800	259.85
284400	261.35
288000	264.05
291600	267.25
295200	272.65
298800	276.45
302400	276.95
306000	281.15
309600	282.75
313200	284.25
316800	283.15
320400	280.35
324000	280.35
327600	279.25
331200	280.35
334800	279.25
338400	278.75
342000	278.15
345600	283.15
349200	278.15
352800	283.75
356400	284.25
360000	282.55
363600	282.55
367200	282.55
370800	278.15
374400	283.15
378000	282.05
381600	285.95
385200	285.95
388800	288.15
392400	287.55
396000	285.95
399600	283.15
403200	281.45
406800	278.75
410400	278.75
414000	277.05
417600	276.45
421200	274.85
424800	273.15
428400	273.75
432000	273.15
435600	273.15
439200	274.25
442800	273.75
446400	273.15
450000	272.55
453600	273.15
457200	272.55
460800	272.55
464400	272.55
468000	273.15
471600	273.15
475200	274.25
478800	274.85
482400	274.25
486000	274.85
489600	273.75
493200	272.55
496800	271.45
500400	269.85
504000	268.75
507600	267.05
511200	265.35
514800	265.35
518400	264.25
522000	264.25
525600	264.85
529200	262.55
532800	260.95
536400	259.25
540000	260.35
543600	260.35
547200	270.35
550800	272.55
554400	274.25
558000	275.95
561600	278.15
565200	278.75
568800	278.15
572400	278.15
576000	277.55
579600	278.15
583200	278.75
586800	278.15
590400	277.55
594000	275.35
597600	272.55
601200	273.15
604800	274.85
608400	274.85
612000	274.25
615600	272.55
619200	271.45
622800	269.85
626400	269.85
630000	268.75
633600	270.35
637200	275.35
640800	278.15
644400	280.35
648000	280.95
651600	283.75
655200	283.75
658800	280.95
662400	279.85
666000	277.55
669600	273.75
673200	272.55
676800	271.45
680400	272.05
684000	270.95
687600	271.45
691200	270.35
694800	269.85
698400	269.85
702000	269.85
705600	269.85
709200	269.25
712800	269.85
716400	268.15
720000	272.05
723600	273.75
727200	275.95
730800	277.05
734400	276.45
738000	276.45
741600	277.05
745200	277.55
748800	277.05
752400	275.95
756000	274.25
759600	273.15
763200	273.75
766800	271.45
770400	271.45
774000	270.35
777600	268.75
781200	268.75
784800	268.15
788400	268.15
792000	267.55
795600	267.05
799200	266.45
802800	267.55
806400	268.15
810000	271.45
813600	274.85
817200	277.55
820800	279.25
824400	280.35
828000	280.35
831600	279.85
835200	279.25
838800	276.45
842400	273.75
846000	272.05
849600	270.95
853200	272.05
856800	269.85
860400	268.75
864000	268.15
867600	267.55
871200	267.05
874800	267.05
878400	267.55
882000	268.15
885600	269.25
889200	269.25
892800	269.85
896400	271.45
900000	274.25
903600	280.35
907200	280.95
910800	283.75
914400	284.85
918000	285.35
921600	283.15
925200	281.45
928800	280.95
932400	280.35
936000	278.75
939600	277.55
943200	279.25
946800	277.55
950400	277.05
954000	275.95
957600	273.15
961200	272.05
964800	269.85
968400	268.15
972000	267.55
975600	267.05
979200	268.75
982800	272.55
986400	275.35
990000	279.25
993600	280.95
997200	280.95
1000800	282.05
1004400	281.45
1008000	281.45
1011600	277.55
1015200	275.35
1018800	275.35
1022400	275.35
1026000	272.05
1029600	270.95
1033200	271.45
1036800	271.45
1040400	273.75
1044000	276.45
1047600	275.95
1051200	275.95
1054800	276.45
1058400	275.95
1062000	275.35
1065600	276.45
1069200	278.75
1072800	280.95
1076400	282.55
1080000	282.55
1083600	283.15
1087200	282.55
1090800	282.55
1094400	282.55
1098000	281.45
1101600	280.35
1105200	279.85
1108800	279.85
1112400	279.25
1116000	276.45
1119600	274.85
1123200	275.95
1126800	278.75
1130400	279.85
1134000	280.35
1137600	279.85
1141200	279.85
1144800	279.85
1148400	279.85
1152000	279.85
1155600	281.45
1159200	283.15
1162800	285.35
1166400	285.95
1170000	286.45
1173600	286.45
1177200	285.95
1180800	285.35
1184400	283.15
1188000	282.05
1191600	280.35
1195200	278.75
1198800	275.95
1202400	274.25
1206000	273.75
1209600	272.05
1213200	272.05
1216800	271.45
1220400	271.45
1224000	270.95
1227600	271.45
1231200	272.05
1234800	270.35
1238400	270.95
1242000	276.45
1245600	280.35
1249200	283.15
1252800	285.35
1256400	285.95
1260000	286.45
1263600	285.95
1267200	283.75
1270800	282.05
1274400	280.95
1278000	277.55
1281600	277.05
1285200	275.35
1288800	275.35
1292400	272.55
1296000	273.15
1299600	275.95
1303200	276.45
1306800	279.85
1310400	273.75
1314000	272.05
1317600	272.05
1321200	272.05
1324800	273.15
1328400	273.15
1332000	272.05
1335600	273.15
1339200	274.25
1342800	275.35
1346400	275.35
1350000	274.85
1353600	274.85
1357200	274.85
1360800	273.15
1364400	273.75
1368000	274.25
1371600	272.55
1375200	272.05
1378800	271.45
1382400	270.95
1386000	270.95
1389600	271.45
1393200	271.45
1396800	274.85
1400400	272.55
1404000	272.55
1407600	273.15
1411200	268.15
1414800	270.95
1418400	273.15
1422000	273.15
1425600	272.05
1429200	270.95
1432800	270.35
1436400	268.75
1440000	267.55
1443600	266.45
1447200	264.85
1450800	263.75
1454400	263.75
1458000	263.15
1461600	262.55
1465200	262.05
1468800	261.45
1472400	261.45
1476000	261.45
1479600	261.45
1483200	260.95
1486800	261.45
1490400	261.45
1494000	261.45
1497600	263.75
1501200	264.85
1504800	269.25
1508400	274.25
1512000	277.05
1515600	280.35
1519200	286.45
1522800	285.95
1526400	284.85
1530000	284.85
1533600	283.15
1537200	284.25
1540800	283.75
1544400	284.25
1548000	283.75
1551600	283.75
1555200	282.55
1558800	284.25
1562400	283.75
1566000	282.05
1569600	280.95
1573200	277.55
1576800	280.35
1580400	283.75
1584000	282.55
1587600	285.35
1591200	285.95
1594800	288.15
1598400	288.15
1602000	288.75
1605600	288.75
1609200	288.15
1612800	285.35
1616400	284.85
1620000	283.75
1623600	282.55
1627200	273.75
1630800	270.95
1634400	269.85
1638000	268.15
1641600	267.55
