#1  	
double TGround(8760,2)  	
1645200	267.55
1648800	267.55
1652400	268.15
1656000	268.15
1659600	268.15
1663200	268.15
1666800	268.75
1670400	268.75
1674000	268.75
1677600	271.45
1681200	274.25
1684800	274.85
1688400	276.45
1692000	278.75
1695600	279.85
1699200	280.35
1702800	278.75
1706400	277.05
1710000	273.75
1713600	273.15
1717200	271.45
1720800	271.45
1724400	270.35
1728000	269.85
1731600	268.15
1735200	267.55
1738800	267.05
1742400	267.05
1746000	266.45
1749600	266.45
1753200	267.55
1756800	271.45
1760400	275.95
1764000	279.85
1767600	283.75
1771200	285.95
1774800	287.55
1778400	288.75
1782000	288.75
1785600	288.15
1789200	284.25
1792800	281.45
1796400	276.45
1800000	277.05
1803600	275.35
1807200	274.85
1810800	274.25
1814400	274.25
1818000	274.25
1821600	273.75
1825200	273.75
1828800	272.55
1832400	273.15
1836000	272.55
1839600	272.55
1843200	274.25
1846800	277.55
1850400	281.45
1854000	285.35
1857600	287.55
1861200	289.25
1864800	289.25
1868400	289.25
1872000	288.15
1875600	284.25
1879200	279.85
1882800	277.55
1886400	276.45
1890000	276.45
1893600	274.25
1897200	272.05
1900800	273.15
1904400	273.15
1908000	270.35
1911600	272.05
1915200	272.55
1918800	272.55
1922400	271.45
1926000	273.15
1929600	274.25
1933200	278.15
1936800	282.55
1940400	285.95
1944000	288.15
1947600	289.25
1951200	289.85
1954800	289.85
1958400	289.25
1962000	285.95
1965600	282.05
1969200	279.85
1972800	277.55
1976400	277.05
1980000	275.35
1983600	275.95
1987200	275.95
1990800	275.35
1994400	275.95
1998000	276.45
2001600	277.05
2005200	277.55
2008800	278.75
2012400	278.75
2016000	277.05
2019600	280.35
2023200	282.05
2026800	286.45
2030400	287.55
2034000	288.75
2037600	288.15
2041200	287.55
2044800	286.45
2048400	285.35
2052000	282.05
2055600	279.25
2059200	279.25
2062800	277.55
2066400	275.35
2070000	274.25
2073600	274.25
2077200	273.75
2080800	272.05
2084400	272.05
2088000	272.05
2091600	274.25
2095200	269.85
2098800	269.85
2102400	270.95
2106000	276.45
2109600	278.75
2113200	279.25
2116800	282.05
2120400	283.15
2124000	284.25
2127600	284.85
2131200	282.55
2134800	280.95
2138400	278.75
2142000	277.05
2145600	278.15
2149200	279.25
2152800	278.15
2156400	277.55
2160000	276.45
2163600	275.35
2167200	273.75
2170800	272.05
2174400	269.25
2178000	268.15
2181600	267.55
2185200	266.45
2188800	265.35
2192400	265.35
2196000	265.95
2199600	265.95
2203200	267.55
2206800	268.75
2210400	267.05
2214000	267.55
2217600	267.55
2221200	268.15
2224800	268.15
2228400	268.75
2232000	269.25
2235600	269.25
2239200	269.85
2242800	270.15
2246400	270.45
2250000	269.65
2253600	269.95
2257200	271.35
2260800	271.65
2264400	273.05
2268000	273.35
2271600	274.75
2275200	275.05
2278800	276.45
2282400	277.35
2286000	278.15
2289600	278.45
2293200	277.95
2296800	277.85
2300400	277.25
2304000	276.65
2307600	274.95
2311200	273.25
2314800	272.15
2318400	272.05
2322000	271.55
2325600	270.45
2329200	267.55
2332800	267.55
2336400	267.05
2340000	268.15
2343600	267.05
2347200	267.55
2350800	267.55
2354400	265.95
2358000	263.15
2361600	263.75
2365200	263.75
2368800	267.55
2372400	269.85
2376000	270.95
2379600	270.35
2383200	271.45
2386800	271.45
2390400	270.95
2394000	270.35
2397600	268.75
2401200	269.15
2404800	268.15
2408400	268.15
2412000	267.05
2415600	263.75
2419200	265.35
2422800	262.55
2426400	261.45
2430000	257.55
2433600	259.25
2437200	259.85
2440800	260.35
2444400	258.15
2448000	263.15
2451600	264.25
2455200	265.95
2458800	267.55
2462400	269.25
2466000	270.35
2469600	270.95
2473200	270.35
2476800	270.95
2480400	269.25
2484000	265.95
2487600	263.15
2491200	263.75
2494800	262.55
2498400	262.05
2502000	262.05
2505600	262.05
2509200	262.05
2512800	263.75
2516400	262.55
2520000	263.15
2523600	261.45
2527200	262.55
2530800	262.05
2534400	260.95
2538000	265.35
2541600	267.05
2545200	268.75
2548800	270.95
2552400	273.15
2556000	274.85
2559600	275.35
2563200	274.85
2566800	271.45
2570400	268.75
2574000	268.75
2577600	265.35
2581200	268.75
2584800	267.55
2588400	268.15
2592000	268.15
2595600	267.55
2599200	267.55
2602800	267.05
2606400	267.05
2610000	264.85
2613600	264.25
2617200	264.85
2620800	265.35
2624400	268.75
2628000	270.95
2631600	274.85
2635200	275.95
2638800	278.15
2642400	278.15
2646000	278.15
2649600	277.55
2653200	274.85
2656800	272.55
2660400	268.75
2664000	265.35
2667600	268.15
2671200	267.85
2674800	267.45
2678400	267.05
2682000	266.65
2685600	266.25
2689200	265.85
2692800	265.35
2696400	265.95
2700000	265.35
2703600	265.95
2707200	266.45
2710800	268.15
2714400	269.25
2718000	270.95
2721600	272.55
2725200	274.25
2728800	269.85
2732400	269.85
2736000	269.25
2739600	268.75
2743200	266.45
2746800	265.95
2750400	265.35
2754000	264.25
2757600	263.15
2761200	263.15
2764800	263.75
2768400	263.15
2772000	263.75
2775600	261.45
2779200	261.45
2782800	259.85
2786400	260.95
2790000	259.85
2793600	262.55
2797200	267.55
2800800	271.45
2804400	274.25
2808000	278.15
2811600	280.95
2815200	278.75
2818800	275.95
2822400	273.75
2826000	270.35
2829600	267.05
2833200	264.85
2836800	265.95
2840400	264.25
2844000	264.25
2847600	263.75
2851200	263.15
2854800	262.55
2858400	263.15
2862000	263.15
2865600	262.55
2869200	262.05
2872800	260.95
2876400	260.95
2880000	261.45
2883600	265.95
2887200	269.85
2890800	275.35
2894400	277.05
2898000	278.15
2901600	277.05
2905200	275.35
2908800	274.25
2912400	273.15
2916000	272.55
2919600	269.25
2923200	269.25
2926800	269.85
2930400	268.15
2934000	267.05
2937600	265.95
2941200	264.85
2944800	264.25
2948400	262.55
2952000	262.55
2955600	260.35
2959200	261.45
2962800	259.25
2966400	263.15
2970000	267.55
2973600	270.35
2977200	273.15
2980800	274.85
2984400	275.95
2988000	277.55
2991600	277.55
2995200	278.15
2998800	277.05
3002400	275.35
3006000	271.45
3009600	269.85
3013200	268.75
3016800	269.25
3020400	267.55
3024000	266.45
3027600	265.35
3031200	265.95
3034800	266.45
3038400	265.95
3042000	264.85
3045600	264.25
3049200	265.35
3052800	267.55
3056400	272.55
3060000	274.85
3063600	277.55
3067200	280.35
3070800	281.45
3074400	280.35
3078000	280.35
3081600	279.85
3085200	278.75
3088800	276.45
3092400	275.95
3096000	273.75
3099600	272.05
3103200	273.15
3106800	272.55
3110400	271.45
3114000	270.35
3117600	268.75
3121200	269.25
3124800	268.75
3128400	269.25
3132000	269.85
3135600	269.85
3139200	272.05
3142800	273.15
3146400	275.95
3150000	276.45
3153600	282.05
3157200	282.55
3160800	282.05
3164400	281.45
3168000	280.95
3171600	278.75
3175200	275.95
3178800	275.35
3182400	274.25
3186000	273.75
3189600	272.05
3193200	270.95
3196800	270.35
3200400	269.85
3204000	268.15
3207600	267.05
3211200	267.05
3214800	267.05
3218400	266.45
3222000	266.45
3225600	266.45
3229200	267.05
3232800	267.05
3236400	266.45
3240000	268.15
3243600	269.25
3247200	270.35
3250800	270.35
3254400	269.85
3258000	269.25
3261600	269.25
3265200	268.15
3268800	268.15
3272400	268.75
3276000	269.25
3279600	279.25
3283200	277.55
3286800	273.75
3290400	273.15
3294000	269.25
3297600	272.05
3301200	273.75
3304800	264.85
3308400	260.95
3312000	260.35
3315600	260.35
3319200	260.35
3322800	260.35
3326400	262.55
3330000	262.55
3333600	261.45
3337200	262.05
3340800	261.45
3344400	260.35
3348000	258.75
3351600	258.15
3355200	258.75
3358800	258.75
3362400	258.15
3366000	257.55
3369600	257.55
3373200	258.15
3376800	257.55
3380400	257.55
3384000	258.15
3387600	257.55
3391200	257.55
3394800	259.85
3398400	260.95
3402000	266.45
3405600	271.45
3409200	270.95
3412800	270.35
3416400	273.15
3420000	275.95
3423600	275.35
3427200	277.05
3430800	272.55
3434400	270.95
3438000	271.45
3441600	273.15
3445200	273.75
3448800	278.15
3452400	277.05
3456000	279.85
3459600	278.15
3463200	277.05
3466800	277.05
3470400	277.05
3474000	275.35
3477600	275.35
3481200	273.75
3484800	272.05
3488400	274.25
3492000	278.15
3495600	279.85
3499200	280.95
3502800	279.85
3506400	280.35
3510000	280.95
3513600	279.85
3517200	277.05
3520800	274.25
3524400	273.75
3528000	273.75
3531600	272.55
3535200	272.55
3538800	271.45
3542400	272.05
3546000	270.35
3549600	269.25
3553200	268.75
3556800	268.75
3560400	269.25
3564000	268.15
3567600	267.55
3571200	269.25
3574800	272.05
3578400	275.95
3582000	278.75
3585600	281.45
3589200	280.35
3592800	278.15
3596400	274.85
3600000	273.75
3603600	270.95
3607200	269.25
3610800	268.75
3614400	268.15
3618000	267.55
3621600	267.55
3625200	267.55
3628800	267.05
3632400	267.05
3636000	267.55
3639600	266.45
3643200	264.85
3646800	263.15
3650400	263.15
3654000	262.05
3657600	263.15
3661200	265.95
3664800	269.25
3668400	270.95
3672000	271.45
3675600	271.45
3679200	272.55
3682800	273.75
3686400	273.15
3690000	273.15
3693600	270.35
3697200	269.85
3700800	267.55
3704400	266.45
3708000	263.75
3711600	264.25
3715200	264.25
3718800	266.45
3722400	265.95
3726000	265.95
3729600	266.45
3733200	265.95
3736800	265.95
3740400	266.45
3744000	269.25
3747600	272.05
3751200	275.35
3754800	278.75
3758400	281.45
3762000	283.15
3765600	284.25
3769200	285.95
3772800	285.95
3776400	283.75
3780000	280.95
3783600	279.25
3787200	278.15
3790800	276.45
3794400	276.45
3798000	275.95
3801600	277.05
3805200	277.05
3808800	275.95
3812400	277.05
3816000	276.45
3819600	274.25
3823200	274.25
3826800	273.75
3830400	274.25
3834000	275.35
3837600	277.55
3841200	280.95
3844800	284.85
3848400	281.45
3852000	282.05
3855600	283.15
3859200	282.55
3862800	280.95
3866400	277.05
3870000	275.35
3873600	274.85
3877200	273.75
3880800	273.75
3884400	272.55
3888000	272.55
3891600	271.45
3895200	270.95
3898800	268.75
3902400	268.15
3906000	267.55
3909600	268.75
3913200	268.15
3916800	271.45
3920400	274.85
3924000	278.75
3927600	282.05
3931200	283.75
3934800	284.85
3938400	285.95
3942000	287.05
3945600	287.05
3949200	284.25
3952800	280.95
3956400	279.25
3960000	277.55
3963600	275.35
3967200	275.35
3970800	274.85
3974400	275.35
3978000	273.75
3981600	275.95
3985200	279.25
3988800	278.75
3992400	278.15
3996000	279.25
3999600	278.15
4003200	279.85
4006800	280.35
4010400	283.15
4014000	284.25
4017600	287.55
4021200	289.85
4024800	290.35
4028400	291.45
4032000	288.15
4035600	284.25
4039200	282.05
4042800	278.75
4046400	277.55
4050000	277.55
4053600	277.55
4057200	277.05
4060800	275.35
4064400	277.55
4068000	274.85
4071600	272.55
4075200	273.75
4078800	273.75
4082400	275.35
4086000	274.25
4089600	276.45
4093200	282.55
4096800	283.15
4100400	284.25
4104000	286.45
4107600	288.15
4111200	289.25
4114800	289.85
4118400	288.75
4122000	288.15
4125600	285.95
4129200	277.55
4132800	274.85
4136400	283.15
4140000	282.05
4143600	283.15
4147200	283.75
4150800	282.55
4154400	282.05
4158000	280.35
4161600	282.55
4165200	281.45
4168800	278.75
4172400	276.45
4176000	281.45
4179600	285.95
4183200	287.05
4186800	287.05
4190400	287.55
4194000	287.05
4197600	287.55
4201200	287.55
4204800	284.85
4208400	282.05
4212000	282.05
4215600	280.35
4219200	277.55
4222800	277.05
4226400	276.45
4230000	276.45
4233600	275.95
4237200	276.45
4240800	275.95
4244400	275.95
4248000	274.85
4251600	274.25
4255200	272.55
4258800	270.95
4262400	273.75
4266000	275.35
4269600	277.55
4273200	279.85
4276800	280.35
4280400	279.85
4284000	277.55
4287600	277.55
4291200	278.75
4294800	277.55
4298400	275.35
4302000	273.75
4305600	273.15
4309200	272.05
4312800	272.05
4316400	271.45
4320000	272.05
4323600	272.05
4327200	271.45
4330800	272.05
4334400	271.45
4338000	270.95
4341600	269.25
4345200	269.85
4348800	270.95
4352400	273.15
4356000	276.45
4359600	277.55
4363200	278.75
4366800	279.25
4370400	279.85
4374000	279.85
4377600	279.25
4381200	278.75
4384800	276.45
4388400	275.95
4392000	275.35
4395600	274.85
4399200	274.25
4402800	274.25
4406400	273.75
4410000	273.15
4413600	272.05
4417200	271.45
4420800	270.35
4424400	268.75
4428000	268.15
4431600	268.75
4435200	270.95
4438800	269.85
4442400	270.95
4446000	272.05
4449600	273.15
4453200	273.75
4456800	273.75
4460400	273.15
4464000	273.15
4467600	272.55
4471200	270.95
4474800	270.35
4478400	269.85
4482000	270.95
4485600	269.85
4489200	268.75
4492800	268.15
4496400	267.55
4500000	265.35
4503600	265.95
4507200	266.45
4510800	266.45
4514400	265.95
4518000	266.45
4521600	266.45
4525200	267.05
4528800	268.15
4532400	269.25
4536000	269.25
4539600	269.25
4543200	269.85
4546800	269.85
4550400	269.25
4554000	269.85
4557600	268.75
4561200	268.75
4564800	268.15
4568400	267.55
4572000	267.55
4575600	267.55
4579200	266.45
4582800	265.35
4586400	264.25
4590000	264.25
4593600	263.15
4597200	262.05
4600800	260.95
4604400	261.45
4608000	268.75
4611600	270.95
4615200	272.05
4618800	274.25
4622400	274.85
4626000	275.95
4629600	277.05
4633200	278.75
4636800	279.25
4640400	276.45
4644000	276.45
4647600	274.25
4651200	273.15
4654800	274.25
4658400	273.15
4662000	273.75
4665600	277.05
4669200	274.85
4672800	274.25
4676400	277.05
4680000	275.35
4683600	277.55
4687200	275.35
4690800	277.05
4694400	277.05
4698000	280.35
4701600	283.15
4705200	283.75
4708800	284.85
4712400	284.85
4716000	285.35
4719600	284.85
4723200	285.35
4726800	285.35
4730400	284.25
4734000	283.75
4737600	269.25
4741200	265.35
4744800	263.75
4748400	263.15
4752000	263.75
4755600	263.15
4759200	263.15
4762800	263.15
4766400	262.55
4770000	262.05
4773600	262.05
4777200	262.55
4780800	263.15
4784400	264.25
4788000	265.95
4791600	267.55
4795200	268.75
4798800	270.95
4802400	272.05
4806000	273.75
4809600	274.85
4813200	273.75
4816800	270.95
4820400	269.25
4824000	268.75
4827600	268.15
4831200	267.05
4834800	266.45
4838400	266.45
4842000	266.45
4845600	267.05
4849200	266.45
4852800	266.45
4856400	265.95
4860000	265.95
4863600	266.45
4867200	269.85
4870800	273.75
4874400	279.25
4878000	282.55
4881600	287.05
4885200	288.75
4888800	288.75
4892400	287.55
4896000	288.75
4899600	287.55
4903200	280.95
4906800	276.45
4910400	275.35
4914000	274.25
4917600	274.25
4921200	274.25
4924800	273.15
4928400	274.25
4932000	273.75
4935600	273.15
4939200	273.15
4942800	273.15
4946400	273.75
4950000	274.85
4953600	276.45
4957200	278.15
4960800	280.95
4964400	284.25
4968000	286.45
4971600	288.15
4975200	288.75
4978800	288.15
4982400	286.45
4986000	285.35
4989600	284.25
4993200	282.55
4996800	281.45
5000400	280.35
5004000	279.85
5007600	278.75
5011200	277.55
5014800	276.45
5018400	277.05
5022000	277.05
5025600	275.35
5029200	274.25
5032800	274.25
5036400	274.85
5040000	276.45
5043600	278.75
5047200	282.05
5050800	283.15
5054400	281.45
5058000	281.45
5061600	281.45
5065200	278.15
5068800	273.75
5072400	273.75
5076000	273.75
5079600	273.75
5083200	273.75
5086800	273.75
5090400	274.85
5094000	275.95
5097600	277.05
5101200	278.15
5104800	279.25
5108400	280.35
5112000	281.45
5115600	278.75
5119200	277.55
5122800	277.55
5126400	279.25
5130000	280.35
5133600	284.25
5137200	285.95
5140800	288.15
5144400	287.55
5148000	287.55
5151600	287.55
5155200	286.45
5158800	285.35
5162400	284.85
5166000	275.95
5169600	272.55
5173200	271.45
5176800	270.35
5180400	269.25
5184000	269.25
5187600	268.75
5191200	268.15
5194800	268.15
5198400	268.15
5202000	268.15
5205600	268.15
5209200	268.15
5212800	267.55
5216400	269.25
5220000	271.45
5223600	274.25
5227200	274.85
5230800	278.15
5234400	279.85
5238000	279.85
5241600	279.25
5245200	278.15
5248800	275.95
5252400	274.25
5256000	274.25
5259600	273.75
5263200	274.85
5266800	275.35
5270400	276.45
5274000	279.25
5277600	273.75
5281200	274.25
5284800	273.15
5288400	279.25
5292000	278.75
5295600	275.35
5299200	282.05
5302800	283.75
5306400	285.95
5310000	286.45
5313600	287.55
5317200	288.75
5320800	289.25
5324400	289.85
5328000	290.35
5331600	289.25
5335200	288.15
5338800	287.05
5342400	287.05
5346000	284.85
5349600	283.75
5353200	284.25
5356800	284.25
5360400	284.25
5364000	283.15
5367600	284.25
5371200	283.15
5374800	282.05
5378400	280.35
5382000	283.75
5385600	285.95
5389200	287.05
5392800	289.25
5396400	289.85
5400000	290.95
5403600	292.05
5407200	292.55
5410800	291.45
5414400	292.05
5418000	291.45
5421600	290.35
5425200	289.85
5428800	288.15
5432400	288.15
5436000	287.55
5439600	287.05
5443200	287.05
5446800	286.45
5450400	285.95
5454000	285.35
5457600	284.85
5461200	284.25
5464800	284.85
5468400	285.35
5472000	283.75
5475600	282.05
5479200	279.25
5482800	280.95
5486400	280.95
5490000	280.35
5493600	277.05
5497200	273.75
5500800	274.85
5504400	275.35
5508000	275.35
5511600	275.35
5515200	274.85
5518800	274.85
5522400	274.85
5526000	274.85
5529600	274.85
5533200	274.85
5536800	274.85
5540400	274.25
5544000	273.75
5547600	273.15
5551200	272.05
5554800	272.05
5558400	272.05
5562000	272.05
5565600	270.35
5569200	272.55
5572800	274.85
5576400	275.95
5580000	277.05
5583600	278.15
5587200	278.15
5590800	275.95
5594400	274.25
5598000	273.75
5601600	273.15
5605200	272.55
5608800	272.55
5612400	272.55
5616000	271.45
5619600	271.45
5623200	270.35
5626800	269.85
5630400	270.35
5634000	269.25
5637600	268.75
5641200	268.75
5644800	269.25
5648400	270.95
5652000	273.75
5655600	275.35
5659200	275.35
5662800	277.05
5666400	278.15
5670000	278.15
5673600	278.15
5677200	277.05
5680800	275.95
5684400	274.25
5688000	274.25
5691600	274.25
5695200	273.75
5698800	272.05
5702400	272.05
5706000	272.55
5709600	274.25
5713200	273.75
5716800	273.15
5720400	273.15
5724000	273.75
5727600	274.25
5731200	275.95
5734800	277.05
5738400	278.15
5742000	279.25
5745600	279.85
5749200	280.95
5752800	280.95
5756400	280.35
5760000	280.35
5763600	278.75
5767200	276.45
5770800	275.95
5774400	275.35
5778000	274.85
5781600	273.15
5785200	271.45
5788800	268.75
5792400	270.35
5796000	269.85
5799600	269.25
5803200	268.75
5806800	269.25
5810400	269.85
5814000	269.85
5817600	272.55
5821200	277.05
5824800	280.35
5828400	283.75
5832000	286.45
5835600	288.15
5839200	287.55
5842800	288.15
5846400	287.55
5850000	285.95
5853600	283.75
5857200	282.55
5860800	281.45
5864400	279.85
5868000	279.25
5871600	279.85
5875200	280.35
5878800	280.95
5882400	281.45
5886000	282.05
5889600	281.45
5893200	280.95
5896800	281.45
5900400	282.05
5904000	283.75
5907600	286.45
5911200	289.25
5914800	290.35
5918400	291.45
5922000	292.05
5925600	292.55
5929200	292.55
5932800	291.45
5936400	290.95
5940000	288.15
5943600	285.95
5947200	284.25
5950800	283.75
5954400	283.75
5958000	283.75
5961600	282.55
5965200	281.45
5968800	282.05
5972400	281.45
5976000	279.85
5979600	281.45
5983200	279.25
5986800	278.75
5990400	284.85
5994000	286.45
5997600	288.75
6001200	289.85
6004800	289.85
6008400	289.85
6012000	291.45
6015600	291.45
6019200	288.75
6022800	287.55
6026400	285.95
6030000	280.95
6033600	277.05
6037200	275.95
6040800	277.05
6044400	277.55
6048000	276.45
6051600	274.85
6055200	275.95
6058800	273.75
6062400	273.15
6066000	272.55
6069600	272.05
6073200	272.05
6076800	275.35
6080400	278.75
6084000	280.35
6087600	281.45
6091200	282.55
6094800	282.55
6098400	282.55
6102000	282.55
6105600	281.45
6109200	280.35
6112800	277.05
6116400	275.35
6120000	274.85
6123600	274.25
6127200	273.15
6130800	273.15
6134400	272.55
6138000	271.45
6141600	270.95
6145200	270.35
6148800	269.85
6152400	269.85
6156000	269.85
6159600	270.95
6163200	277.05
6166800	278.75
6170400	280.35
6174000	282.05
6177600	282.55
6181200	282.55
6184800	282.55
6188400	282.55
6192000	282.55
6195600	282.05
6199200	279.85
6202800	277.55
6206400	275.95
6210000	274.85
6213600	274.85
6217200	274.25
6220800	274.25
6224400	274.25
6228000	274.85
6231600	273.15
6235200	270.95
6238800	270.35
6242400	269.25
6246000	269.85
6249600	270.95
6253200	272.05
6256800	274.85
6260400	277.05
6264000	279.85
6267600	279.25
6271200	280.35
6274800	280.95
6278400	280.35
6282000	277.05
6285600	275.35
6289200	274.85
6292800	274.25
6296400	273.75
6300000	273.15
6303600	273.15
6307200	272.55
6310800	273.15
6314400	272.55
6318000	272.05
6321600	271.45
6325200	270.95
6328800	270.95
6332400	271.45
6336000	272.55
6339600	272.55
6343200	273.75
6346800	275.95
6350400	277.55
6354000	277.55
6357600	278.75
6361200	278.75
6364800	279.85
6368400	278.15
6372000	277.05
6375600	274.85
6379200	273.75
6382800	273.75
6386400	272.05
6390000	271.45
6393600	270.95
6397200	270.35
6400800	270.35
6404400	270.35
