0, 0
3600, 0
7200, 0
10800, 0
14400, 0
18000, 0
21600, 0
25200, 500
28800, 500
32400, 500
36000, 500
39600, 500
43200, 481
46800, 426
50400, 374
54000, 324
57600, 276
61200, 230
64800, 186
68400, -500
72000, -500
75600, -500
79200, -500
82800, -500
86400, -500
781200, -500
784800, -500
788400, -500
792000, -500
795600, -500
799200, -500
802800, -142
806400, -172
810000, -201
813600, -228
817200, -254
820800, -278
824400, -302
828000, -324
831600, -345
835200, -366
838800, -385
842400, -404
846000, -500
849600, -500
853200, -500
856800, -500
860400, -500
864000, -500
5101200, -500
5104800, -500
5108400, -500
5112000, -500
5115600, -500
5119200, -500
5122800, -149
5126400, -179
5130000, -207
5133600, -234
5137200, -259
5140800, -284
5144400, -307
5148000, -329
5151600, -350
5155200, -371
5158800, -390
5162400, -408
5166000, -500
5169600, -500
5173200, -500
5176800, -500
5180400, -500
5184000, -500
