0, 22, 0, 0
3600, 22, 0, 0
7200, 22, 0, 0
10800, 22, 0, 0
14400, 22, 0, 0
18000, 22, 0, 0
21600, 22, 0, 500
25200, 24.9, 500, 500
28800, 25.2, 500, 500
32400, 25.6, 500, 500
36000, 25.9, 500, 500
39600, 26.2, 500, 500
43200, 26.5, 500, 500
46800, 26.8, 500, 464
50400, 27, 464, 397
54000, 27, 397, 333
57600, 27, 333, 272
61200, 27, 272, 215
64800, 27, 215, -500
68400, 25.3, -500, -500
72000, 25.2, -500, -500
75600, 25.1, -500, -500
79200, 24.9, -500, -500
82800, 24.8, -500, -500
86400, 24.7, -500, -500
781200, 26.2, -500, -500
784800, 26.1, -500, -500
788400, 26, -500, -500
792000, 25.8, -500, -500
795600, 25.7, -500, -500
799200, 25.6, -500, 126
802800, 27, 126, 76
806400, 27, 76, 28
810000, 27, 28, 100
813600, 27, -121, -391
817200, 27, -391, -500
820800, 27, -500, -500
824400, 27.1, -500, -500
828000, 27.2, -500, -500
831600, 27.3, -500, -500
835200, 27.4, -500, -500
838800, 27.5, -500, -500
842400, 27.6, -500, -500
846000, 27, -500, -500
849600, 26.9, -500, -500
853200, 26.7, -500, -500
856800, 26.6, -500, -500
860400, 26.5, -500, -500
864000, 26.4, -500, -500
5101200, 26.2, -500, -500
5104800, 26.1, -500, -500
5108400, 26, -500, -500
5112000, 25.8, -500, -500
5115600, 25.7, -500, -500
5119200, 25.6, -500, 126
5122800, 27, 126, 76
5126400, 27, 76, 28
5130000, 27, 28, 100
5133600, 27, -122, -391
5137200, 27, -391, -500
5140800, 27, -500, -500
5144400, 27.1, -500, -500
5148000, 27.2, -500, -500
5151600, 27.3, -500, -500
5155200, 27.4, -500, -500
5158800, 27.5, -500, -500
5162400, 27.6, -500, -500
5166000, 27, -500, -500
5169600, 26.9, -500, -500
5173200, 26.7, -500, -500
5176800, 26.6, -500, -500
5180400, 26.5, -500, -500
5184000, 26.4, -500, -500
