0, 22
3600, 22
7200, 22
10800, 22
14400, 22
18000, 22
21600, 22
25200, 22.6
28800, 22.9
32400, 23.1
36000, 23.3
39600, 23.5
43200, 23.7
46800, 23.9
50400, 24.1
54000, 24.3
57600, 24.6
61200, 24.8
64800, 25
68400, 24.5
72000, 24.5
75600, 24.5
79200, 24.5
82800, 24.5
86400, 24.5
781200, 37.7
784800, 37.7
788400, 37.6
792000, 37.5
795600, 37.5
799200, 37.4
802800, 38
806400, 38.2
810000, 38.3
813600, 38.5
817200, 38.6
820800, 38.8
824400, 38.9
828000, 39.1
831600, 39.2
835200, 39.4
838800, 39.5
842400, 39.7
846000, 39.2
849600, 39.1
853200, 39.1
856800, 39
860400, 38.9
864000, 38.9
5101200, 50
5104800, 49.9
5108400, 49.8
5112000, 49.7
5115600, 49.6
5119200, 49.5
5122800, 50
5126400, 50.1
5130000, 50.2
5133600, 50.3
5137200, 50.5
5140800, 50.6
5144400, 50.7
5148000, 50.8
5151600, 50.9
5155200, 51
5158800, 51.1
5162400, 51.2
5166000, 50.7
5169600, 50.6
5173200, 50.4
5176800, 50.3
5180400, 50.2
5184000, 50.1
