0, 291.95
3600, 291.95
3600, 290.25
7200, 290.25
7200, 289.65
10800, 289.65
10800, 289.25
14400, 289.25
14400, 289.65
18000, 289.65
18000, 290.95
21600, 290.95
21600, 293.45
25200, 293.45
25200, 295.95
28800, 295.95
28800, 297.95
32400, 297.95
32400, 299.85
36000, 299.85
36000, 301.25
39600, 301.25
39600, 302.15
43200, 302.15
43200, 302.85
46800, 302.85
46800, 303.55
50400, 303.55
50400, 304.05
54000, 304.05
54000, 304.15
57600, 304.15
57600, 303.95
61200, 303.95
61200, 303.25
64800, 303.25
64800, 302.05
68400, 302.05
68400, 300.15
72000, 300.15
72000, 297.85
75600, 297.85
75600, 296.05
79200, 296.05
79200, 295.05
82800, 295.05
82800, 294.05
86400, 294.05
